radius_au,normalised_surface_density
4.675000000000024158e+01,2.238332523091847714e-01
4.685000000000023590e+01,1.382676821577617510e-01
4.695000000000024443e+01,1.910397908800443578e-01
4.705000000000023874e+01,1.906337551927332896e-01
4.715000000000024727e+01,1.796611394967778386e-01
4.725000000000024158e+01,1.687349687349678773e-01
4.735000000000025011e+01,1.262839589133143980e-01
4.745000000000024443e+01,1.260178177986395753e-01
4.755000000000025295e+01,1.467115954497659192e-01
4.765000000000024727e+01,1.464037012305641761e-01
4.775000000000025580e+01,1.565326035221330792e-01
4.785000000000025011e+01,1.249643773154753418e-01
4.795000000000025864e+01,2.494075267797917217e-01
4.805000000000025295e+01,2.074070570428552807e-01
4.815000000000026148e+01,2.276739356178636986e-01
4.825000000000025580e+01,1.445831370701789742e-01
4.835000000000026432e+01,9.275406599605302838e-02
4.845000000000025864e+01,6.170841542358682791e-02
4.855000000000026716e+01,7.184486471304329935e-02
4.865000000000026148e+01,2.048491077268005042e-02
4.875000000000027001e+01,3.066433566433639582e-02
4.885000000000026432e+01,5.100260537824402585e-02
4.895000000000027285e+01,5.089841210883230826e-02
4.905000000000026716e+01,0.000000000000000000e+00
4.915000000000027569e+01,3.041477850735321148e-02
4.925000000000027001e+01,5.058837101984244022e-02
4.935000000000027853e+01,1.009717233121477063e-02
4.945000000000027285e+01,2.015350675613641548e-02
4.955000000000028137e+01,4.022566736996575909e-02
4.965000000000027569e+01,4.014464890597799207e-02
4.975000000000028422e+01,1.001598903608950063e-02
4.985000000000027853e+01,2.998769034375849477e-02
4.995000000000028706e+01,0.000000000000000000e+00
5.005000000000028137e+01,4.977976568885895958e-02
5.015000000000028990e+01,4.968050394271749520e-02
5.025000000000028422e+01,2.974898236092282655e-02
5.035000000000029274e+01,6.927642863590964539e-02
5.045000000000028706e+01,2.963104784214821638e-02
5.055000000000029559e+01,2.957243053682255887e-02
5.065000000000028990e+01,5.902808938347021278e-02
5.075000000000029843e+01,1.963725929243199594e-02
5.085000000000029274e+01,6.859524448019831133e-02
5.095000000000030127e+01,4.890043714872067959e-02
5.105000000000029559e+01,1.952185913988108493e-02
5.115000000000030411e+01,2.922553985603773205e-02
5.125000000000029843e+01,3.889135254989006807e-02
5.135000000000030695e+01,2.911171107373584574e-02
5.145000000000030127e+01,9.685042848308419647e-03
5.155000000000030980e+01,3.866502072127619982e-02
5.165000000000030411e+01,4.823770131127492339e-02
5.175000000000031264e+01,9.628897672375824612e-02
5.185000000000030695e+01,9.610326992197684021e-03
5.195000000000031548e+01,1.918365561291436594e-02
5.205000000000030980e+01,4.786699851541531547e-02
5.215000000000031832e+01,1.911008454632607753e-02
5.225000000000031264e+01,9.536755110917767217e-03
5.235000000000032117e+01,4.759268906833374196e-02
5.245000000000031548e+01,7.600311985440688645e-02
5.255000000000032401e+01,3.792924487501092567e-02
5.265000000000031832e+01,4.732150565483921045e-02
5.275000000000032685e+01,9.446359327875977763e-03
5.285000000000032117e+01,3.771394168745193648e-02
5.295000000000032969e+01,4.705339514121431588e-02
5.305000000000032401e+01,2.817881929569050065e-02
5.315000000000033253e+01,2.812580176173697100e-02
5.325000000000032685e+01,1.871532223644928328e-02
5.335000000000033538e+01,4.670060492459822410e-02
5.345000000000032969e+01,4.661323241772148684e-02
5.355000000000033822e+01,5.583142347848343845e-02
5.365000000000033253e+01,1.857578581716553753e-02
5.375000000000034106e+01,4.635306553911119204e-02
5.385000000000033538e+01,3.701358993838196193e-02
5.395000000000034390e+01,6.465371977420072969e-02
5.405000000000033822e+01,5.531494407535037655e-02
5.415000000000034674e+01,4.601066062285039809e-02
5.425000000000034106e+01,4.592584834520273274e-02
5.435000000000034959e+01,3.667307853140391177e-02
5.445000000000034390e+01,4.575715836046576057e-02
5.455000000000035243e+01,9.134655445379511254e-03
5.465000000000034674e+01,3.647176245529391153e-02
5.475000000000035527e+01,5.460772104607715394e-02
5.485000000000034959e+01,1.816938758597829925e-02
5.495000000000035811e+01,5.440896682934912021e-02
5.505000000000035243e+01,6.336181983320973710e-02
5.515000000000036096e+01,1.174585840270343795e-01
5.525000000000035527e+01,8.117030028794794405e-02
5.535000000000036380e+01,3.601051162026804725e-02
